year,title,ndc_code,genre,genre_major,location,creator_normalized
1823,ふなぢのなやみ,915.5,915.5:日本文学/日記．書簡．紀行/近世：江戸時代,日本文学,不明,中島 広足
1805,ましり咲,913,913:日本文学/小説．物語,日本文学,京都,その他
1821,やつれ蓑の日記,915,915:日本文学/日記．書簡．紀行,日本文学,京都,その他
1842,一の谷嫩軍記,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,不明,橋本 貞秀
1837,一休ばなし : 4巻,913.59,913.59:小説．物語/近世：江戸時代/咄本：醒睡笑,小説．物語,不明,不明
1821,一字俗弁,911.307,911.307:詩歌/俳諧．俳句/研究法．指導法．作句法．作句用書．歳時記,詩歌,不明,その他
1861,万国奇談袋,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,不明,その他
1821,万葉分類 : 3巻,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,不明,その他
1854,万葉小諷総目録,912.3,912.3:日本文学/戯曲/謡曲,日本文学,京都,その他
1823,万葉山常百首,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,京都,その他
1818,万葉用字格,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,不明,その他
1857,万葉集中上野国歌 : 2巻,911.12,911.12:詩歌/和歌．短歌/万葉集,詩歌,不明,その他
1867,万葉集書目,911.13,911.13:詩歌/和歌．短歌/古代後期［中古］：平安時代,詩歌,江戸,その他
1815,万葉集楢落葉 : 5巻,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,江戸,その他
1856,万葉集略解 : 20巻,911.13,911.13:詩歌/和歌．短歌/古代後期［中古］：平安時代,詩歌,名古屋,その他
1865,万葉集註釈 : 20巻,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,不明,その他
1820,万葉集遠江歌考,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,不明,賀茂 真淵
1853,三代和歌集 : 校本,911.13,911.13:詩歌/和歌．短歌/古代後期［中古］：平安時代,詩歌,江戸,その他
1811,三日月集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他
1859,三都妖婦伝 : 4編,913.56,913.56:小説．物語/近世：江戸時代/読本：滝沢馬琴，上田秋成,小説．物語,江戸,その他
1831,不二紀行詩,919,919:日本文学/漢詩文．日本漢文学,日本文学,江戸,その他
1858,不繋舟 3巻,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,江戸,その他
1843,世事百談,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他
1845,世志幸迺図会,911.9,911.9:日本文学/詩歌/漢詩,日本文学,不明,その他
1822,中旅雑日記 草稿,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,不明,その他
1850,中空の日記 : 東塢大人紀行,915,915:日本文学/日記．書簡．紀行,日本文学,京都,香川 景樹
1838,丹鶴百人一首宝庫,911.14,911.14:詩歌/和歌．短歌/中世：鎌倉・室町時代,詩歌,江戸,その他
1850,久保之取蛇尾 : 3巻,914,914:日本文学/評論．エッセイ．随筆,日本文学,大阪,その他
1849,乍浦集詠鈔 3巻附録1巻,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,不明,その他
1865,九州道の記,915.5,915.5:日本文学/日記．書簡．紀行/近世：江戸時代,日本文学,不明,その他
1857,五十槻掻葉集 : 8巻,911.158,911.158:和歌．短歌/近世：江戸時代/家集,和歌．短歌,不明,その他
1821,亮々草紙,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他
1848,人心百物がたり,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,その他
1813,人間萬事虚誕計 2編,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,不明,その他
1814,人面樹鼻之親玉 : 3巻,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,不明,その他
1855,今世名家文鈔,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,不明,その他
1805,今按名蹟考,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,大阪,その他
1847,今春土産福壽草 : 福の巻,911.45,911.45:詩歌/川柳．狂句/近世：江戸時代,詩歌,不明,その他
1857,仏山堂詩鈔,919,919:日本文学/漢詩文．日本漢文学,日本文学,京都,その他
1858,仮名読八犬伝,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他
1804,仮字領袖,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,不明,その他
1850,伊勢紀行 寝転草,911.33,911.33:詩歌/俳諧．俳句/元禄期：榎本其角，服部嵐雪，向井去来，内藤丈草，森川許六，各務支考，横井也有，中川乙由，上島鬼貫,詩歌,不明,その他
1850,伊呂波蔵水滸伝,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,不明,その他
1855,佐倉義民伝,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他
1853,佐嘉日記,915.5,915.5:日本文学/日記．書簡．紀行/近世：江戸時代,日本文学,長崎,中島 広足
1855,俳人百家撰,911.302,911.302:詩歌/俳諧．俳句/俳諧史．俳人列伝・研究,詩歌,不明,緑亭 川柳
1827,俳諧一葉集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他
1837,俳諧今七部集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他
1811,俳諧四季文集/初篇,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,大阪,その他
1807,俳諧天爾波抄,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,京都,その他
1856,俳諧手挑灯,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他
1845,俳諧拾葉集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,京都,その他
1836,俳諧歌種心集,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,京都,その他
1860,俳諧歌苧環集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,不明,不明
1803,俳諧歳時記,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,大阪,その他
1854,俳諧玉ひろひ,913,913:日本文学/小説．物語,日本文学,金沢,その他
1807,俳諧発句五百題,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,不明,その他
1850,俳諧百一集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他
1816,俳諧百画賛 : 2巻,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,その他,その他
1853,俳諧種瓢,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,不明,不明
1833,俳諧苔の花,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,不明,その他
1848,俳諧裾野集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他
1860,俵藤太竜宮蜃話 : 3巻,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,江戸,その他
1852,假名反古一休草紙 16編 (存4編),913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,不明,その他
