year,title,ndc_code,genre,genre_major,location,creator_normalized,genre_norm,period
1856,俳諧手挑灯,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他,俳諧,1844-1867 幕末期
1845,俳諧拾葉集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,京都,その他,俳諧,1844-1867 幕末期
1836,俳諧歌種心集,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,京都,その他,狂歌,1830-1843 天保期
1803,俳諧歳時記,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,大阪,その他,俳諧,1801-1829 化政期
1854,俳諧玉ひろひ,913,913:日本文学/小説．物語,日本文学,金沢,その他,小説・物語,1844-1867 幕末期
1850,俳諧百一集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他,俳諧,1844-1867 幕末期
1816,俳諧百画賛 : 2巻,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,その他,その他,俳諧,1801-1829 化政期
1848,俳諧裾野集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他,俳諧,1844-1867 幕末期
1860,俵藤太竜宮蜃話 : 3巻,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,江戸,その他,小説・物語,1844-1867 幕末期
1832,偐紫田舎源氏,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他,小説・物語,1830-1843 天保期
1861,傍廂,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他,随筆,1844-1867 幕末期
1833,八十浦之玉,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,その他,その他,和歌・短歌,1830-1843 天保期
1856,八犬伝後日譚,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,為永春水,小説・物語,1844-1867 幕末期
1812,円珠庵雑記,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他,随筆,1801-1829 化政期
1812,円珠菴雑記,914,914:日本文学/評論．エッセイ．随筆,日本文学,江戸,その他,随筆,1801-1829 化政期
1847,列女百人一首,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,江戸,緑亭 川柳,和歌・短歌,1844-1867 幕末期
1831,刪訂詩学貫珠,919,919:日本文学/漢詩文．日本漢文学,日本文学,大阪,その他,漢詩文,1830-1843 天保期
1803,前太平記図会,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,京都,その他,小説・物語,1801-1829 化政期
1840,加越能三州百人歌集,911,911:日本文学/詩歌,日本文学,金沢,その他,詩歌（その他）,1830-1843 天保期
1848,北条時頼記図会,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他,小説・物語,1844-1867 幕末期
1819,北辺随筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他,随筆,1801-1829 化政期
1839,北道遊簿 : 2巻,915,915:日本文学/日記．書簡．紀行,日本文学,江戸,その他,日記・紀行,1830-1843 天保期
1810,十二番歌合 : 寛保元年八月於荷田在満家,911.18,911.18:詩歌/和歌．短歌/歌合．曲水,詩歌,江戸,賀茂 真淵,和歌・短歌,1801-1829 化政期
1801,十評発句集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,京都,その他,俳諧,1801-1829 化政期
1836,千本桜後日仇討,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他,小説・物語,1830-1843 天保期
1817,千紅万紫 : 初集,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,江戸,その他,狂歌,1801-1829 化政期
1861,南北太平記図会,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,その他,小説・物語,1844-1867 幕末期
1835,南園雑集,919,919:日本文学/漢詩文．日本漢文学,日本文学,その他,その他,漢詩文,1830-1843 天保期
1839,古人五百題句集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他,俳諧,1830-1843 天保期
1826,古今和歌集 : 20巻,911.1351,911.1351:古代後期［中古］：平安時代/勅撰集．八代集/古今和歌集,古代後期［中古］：平安時代,大阪,その他,和歌・短歌,1801-1829 化政期
1835,古今和歌集正義,911.13,911.13:詩歌/和歌．短歌/古代後期［中古］：平安時代,詩歌,京都,香川 景樹,和歌・短歌,1830-1843 天保期
1816,古今集遠鏡,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,名古屋,その他,和歌・短歌,1801-1829 化政期
1837,古風三躰考,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,大阪,その他,和歌・短歌,1830-1843 天保期
1801,和哥八重垣 : 7巻,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,江戸,その他,和歌・短歌,1801-1829 化政期
1827,和歌ふるの山ふみ : 4巻,911,911:日本文学/詩歌,日本文学,京都,その他,詩歌（その他）,1801-1829 化政期
1843,和漢朗詠集,91,91:文学/日本文学,文学,京都,その他,日本文学（その他）,1830-1843 天保期
1846,善悪道中記,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,江戸,その他,小説・物語,1844-1867 幕末期
1842,嚶々筆語,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他,随筆,1830-1843 天保期
1848,四季発句呉竹類題集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他,俳諧,1844-1867 幕末期
1862,四時行,913,913:日本文学/小説．物語,日本文学,京都,その他,小説・物語,1844-1867 幕末期
1808,国字鵺物語 : 5巻,913.56,913.56:小説．物語/近世：江戸時代/読本：滝沢馬琴，上田秋成,小説．物語,江戸,その他,小説・物語,1801-1829 化政期
1820,土佐のにき,915.32,915.32:日記．書簡．紀行/古代：平安時代まで/土佐日記,日記．書簡．紀行,名古屋,その他,日記・紀行,1801-1829 化政期
1806,填詞図譜 : 2巻附録1巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,京都,その他,漢詩文,1801-1829 化政期
1857,増補掌中梅室発句集,913,913:日本文学/小説．物語,日本文学,大阪,その他,小説・物語,1844-1867 幕末期
1836,墨林奇標,919,919:日本文学/漢詩文．日本漢文学,日本文学,江戸,その他,漢詩文,1830-1843 天保期
1833,変宅論 : 2巻,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,京都,その他,小説・物語,1830-1843 天保期
1849,大伴金道忠孝図絵,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,その他,小説・物語,1844-1867 幕末期
1803,大和物語,913.3,913.3:日本文学/小説．物語/古代後期［中古］：平安時代,日本文学,江戸,その他,小説・物語,1801-1829 化政期
1823,大宝倭漢朗詠集 : 2巻,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,京都,その他,漢詩文,1801-1829 化政期
1841,大師河原撫子話 : 〔和綴じ本〕,,不明,不明,江戸,その他,不明,1830-1843 天保期
1834,大幣,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,京都,その他,和歌・短歌,1830-1843 天保期
1839,天保佳話,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,江戸,その他,漢詩文,1830-1843 天保期
1834,太平楽皇国性質,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,大阪,その他,随筆,1830-1843 天保期
1820,太田道潅雄飛録,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,その他,小説・物語,1801-1829 化政期
1840,夷曲歌集百人一首,911,911:日本文学/詩歌,日本文学,金沢,その他,詩歌（その他）,1830-1843 天保期
1851,奇特百歌撰初編,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,江戸,緑亭 川柳,和歌・短歌,1844-1867 幕末期
1850,孝経楼漫筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他,随筆,1844-1867 幕末期
1808,宇家良我波奈,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,江戸,その他,和歌・短歌,1801-1829 化政期
1811,安宅集,913,913:日本文学/小説．物語,日本文学,京都,その他,小説・物語,1801-1829 化政期
1812,宋三大家絶句 : 1巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,江戸,その他,漢詩文,1801-1829 化政期
1862,宮川舎漫筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他,随筆,1844-1867 幕末期
1860,富士山百景狂哥集,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,その他,その他,狂歌,1844-1867 幕末期
1854,小栗一代記,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他,小説・物語,1844-1867 幕末期
1813,小栗外伝,913.56,913.56:小説．物語/近世：江戸時代/読本：滝沢馬琴，上田秋成,小説．物語,江戸,その他,小説・物語,1801-1829 化政期
1820,小説由井ケ浜,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他,小説・物語,1801-1829 化政期
1827,少女巻抄注,913.3,913.3:日本文学/小説．物語/古代後期［中古］：平安時代,日本文学,京都,その他,小説・物語,1801-1829 化政期
1803,居行子,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,大阪,その他,随筆,1801-1829 化政期
1836,山陽先生書後・山陽先生題跋 : 書後3巻題跋2巻附録2巻,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,京都,その他,漢詩文,1830-1843 天保期
1833,山陽詩鈔,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,大阪,その他,漢詩文,1830-1843 天保期
1841,山陽遺稿 : 文10巻詩7巻拾遺1巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,大阪,その他,漢詩文,1830-1843 天保期
1835,左大将家百首歌合,911.18,911.18:詩歌/和歌．短歌/歌合．曲水,詩歌,大阪,その他,和歌・短歌,1830-1843 天保期
1810,己痴群夢多字画尽,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,江戸,その他,小説・物語,1801-1829 化政期
1804,年山紀聞,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他,随筆,1801-1829 化政期
1812,後撰集新抄,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,名古屋,その他,和歌・短歌,1801-1829 化政期
1824,後無射集,913,913:日本文学/小説．物語,日本文学,京都,その他,小説・物語,1801-1829 化政期
1852,復讐銘々伝,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他,小説・物語,1844-1867 幕末期
1838,心の種 : 3巻,911,911:日本文学/詩歌,日本文学,江戸,その他,詩歌（その他）,1830-1843 天保期
1825,忠臣蔵,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他,小説・物語,1801-1829 化政期
1812,忠臣蔵偏癡気論,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他,小説・物語,1801-1829 化政期
1806,怜野集,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,江戸,その他,和歌・短歌,1801-1829 化政期
1832,思斎漫録,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他,随筆,1830-1843 天保期
1825,愚雑爼 : 2巻,914,914:日本文学/評論．エッセイ．随筆,日本文学,京都,その他,随筆,1801-1829 化政期
1838,愛日楼文詩 : 4巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,江戸,その他,漢詩文,1830-1843 天保期
1847,慎夏漫筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他,随筆,1844-1867 幕末期
1803,戯場訓蒙図彙 : 8巻,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,江戸,その他,小説・物語,1801-1829 化政期
1839,手綱染余作春駒,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他,小説・物語,1830-1843 天保期
1824,承久軍談鎌倉太平記,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,京都,その他,小説・物語,1801-1829 化政期
1845,折添集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,京都,その他,俳諧,1844-1867 幕末期
1850,提醒紀談,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他,随筆,1844-1867 幕末期
1821,文あはせ,915.5,915.5:日本文学/日記．書簡．紀行/近世：江戸時代,日本文学,大阪,その他,日記・紀行,1801-1829 化政期
1828,文教温故 : 2巻,914,914:日本文学/評論．エッセイ．随筆,日本文学,江戸,その他,随筆,1801-1829 化政期
1846,文語解 : 5巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,京都,その他,漢詩文,1844-1867 幕末期
1802,斉明紀童謡考,911.6,911.6:日本文学/詩歌/歌謡,日本文学,江戸,その他,歌謡,1801-1829 化政期
1815,新学異見,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,京都,香川 景樹,和歌・短歌,1801-1829 化政期
1849,新撰狂句図会,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他,俳諧,1844-1867 幕末期
1846,新撰画本柳樽,911.4,911.4:日本文学/詩歌/川柳．狂句,日本文学,江戸,緑亭川柳,川柳・狂句,1844-1867 幕末期
1837,新朗詠集,919,919:日本文学/漢詩文．日本漢文学,日本文学,江戸,その他,漢詩文,1830-1843 天保期
1855,新柳多留,911.45,911.45:詩歌/川柳．狂句/近世：江戸時代,詩歌,大阪,その他,川柳・狂句,1844-1867 幕末期
1818,新歌林良材集 : 2巻,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,大阪,その他,和歌・短歌,1801-1829 化政期
1814,新百人一首,911.14,911.14:詩歌/和歌．短歌/中世：鎌倉・室町時代,詩歌,江戸,その他,和歌・短歌,1801-1829 化政期
1825,新編俳諧文集,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他,随筆,1801-1829 化政期
1847,新編金瓶梅 : 10集80巻,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他,小説・物語,1844-1867 幕末期
1825,新製艶油舗,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他,小説・物語,1801-1829 化政期
1841,方円俳諧集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,京都,その他,俳諧,1830-1843 天保期
